ID,Name,Designation,Department,Location,Date_of_Joining,Gender,Salary,Phone_No,GP,Work_From,Last Logout,
28,AYRTN,SDET,Application Development,Gurgaon,19/10/17,Female,1215034,9898980027,2.00,Work From Office,12-20-2018 11:59:46,
29,IYWHK,QA,Operations,Dubai,13/02/13,Male,1863234,9898980028,5.00,Work From Office,11-11-2022 05:07:56,
30,VHPWI,TEAM LEAD,Application Development,Texam,24/09/12,Male,1016087,9898980029,1.00,,05-09-2021 04:37:49,
31,EYFRP,SDET,Operations,Texam,20/09/17,Female,1472071,9898980030,3.00,Work From Office,07-06-2012 15:18:04,
32,BYLBF,SDE,Development,Pune,19/06/21,Male,1430228,9898980031,1.00,Work From Office,02-23-2012 00:00:53,
33,MVYAZ,MANAGER,Development,Banglore,04/03/20,Male,1356765,9898980032,2.00,,01-08-2021 22:01:52,
34,ILOJX,SDET,Application Development,Pune,18/05/16,Female,1467998,9898980033,3.00,Work From Office,09-14-2018 18:07:00,
35,IBZRV,TEAM LEAD,Application Development,Gurgaon,11/01/11,Male,1224118,9898980034,1.00,,04-29-2015 09:16:28,
36,JGHWX,TEAM LEAD,Operations,Gurgaon,10/02/10,Female,1782488,9898980035,5.00,Work From Office,11-20-2022 13:40:50,
37,QXWNW,SDET,Testing,Pune,02/08/10,Male,1466177,9898980036,4.00,,09-07-2015 00:35:58,
38,GWOFS,SDET,Operations,Banglore,02/06/19,Female,1634978,9898980037,3.00,Work From Office,01-17-2015 05:50:12,
39,QUMPV,QA,Operations,Dubai,11/11/12,Male,1329221,9898980038,4.00,,05-02-2017 07:15:30,
40,DGSPN,SDE,Application Development,Dubai,08/04/22,Female,1624310,9898980039,3.00,Work From Home,01-25-2010 15:37:04,
41,RBEGY,SDE,Application Development,Banglore,24/09/22,Male,1273246,9898980040,2.00,Work From Office,11-21-2015 04:18:44,
42,WIBOP,SDE,Application Development,Dubai,12/01/21,Female,1074195,9898980041,2.00,Work From Office,12-11-2018 05:38:29,
43,DORYT,QA,Operations,Dubai,13/03/18,Female,1191544,9898980042,2.00,Work From Home,03-24-2010 13:15:51,
44,GSLIR,SDET,Operations,Gurgaon,18/09/13,Female,1515345,9898980043,5.00,Work From Home,02-23-2015 08:25:15,
45,BHJRX,SDE,Testing,Pune,25/06/21,Male,1494610,9898980044,3.00,,09-15-2022 02:36:04,
46,UOTLO,MANAGER,Testing,Pune,12/06/15,Male,1369815,9898980045,3.00,Work From Home,01-09-2011 15:35:09,
47,VQHPX,QA,Testing,Texam,24/08/21,Female,1590697,9898980046,3.00,,06-21-2014 12:37:45,
48,SRSSL,MANAGER,Operations,Texam,17/04/17,Female,1031264,9898980047,4.00,,01-20-2014 18:04:35,
49,KTXLN,TEAM LEAD,Testing,Dubai,17/09/16,Female,1381552,9898980048,1.00,,08-09-2021 06:42:09,
50,CQSWX,MANAGER,Testing,Texam,27/08/10,Male,1643629,9898980049,2.00,,11-19-2012 14:39:39,
51,MIQGZ,TEAM LEAD,Development,Texam,09/07/18,Female,1266035,9898980050,3.00,Work From Home,03-03-2015 14:25:44,
52,BUKWE,QA,Application Development,Texam,05/06/15,Male,1797981,9898980051,2.00,Work From Home,07-16-2015 05:23:35,
53,QXBNI,QA,Development,Banglore,27/02/14,Female,1402843,9898980052,1.00,,07-18-2016 18:22:39,
54,KIXAP,SDE,Application Development,Gurgaon,31/03/15,Male,1092887,9898980053,3.00,Work From Home,04-14-2019 22:01:04,
55,YKQFP,TEAM LEAD,Application Development,Banglore,22/06/13,Male,1420626,9898980054,2.00,Work From Office,11-08-2013 15:02:11,
56,UYEUE,TEAM LEAD,Application Development,Gurgaon,14/05/17,Female,1024674,9898980055,3.00,Work From Home,02-27-2016 19:54:53,
57,GVHAS,SDE,Operations,Gurgaon,08/05/10,Male,1011163,9898980056,1.00,Work From Office,11-09-2018 05:04:36,
58,CWLVX,MANAGER,Application Development,Dubai,08/01/18,Male,1281740,9898980057,4.00,Work From Office,03-27-2022 11:10:54,
59,TONQE,SDE,Development,Pune,22/08/13,Female,1049360,9898980058,3.00,Work From Office,12-11-2014 08:43:33,
60,OSSXS,SDET,Development,Banglore,10/07/17,Female,1228093,9898980059,3.00,Work From Office,12-09-2015 00:18:47,
61,MRJXV,MANAGER,Operations,Texam,16/11/16,Male,1989099,9898980060,4.00,Work From Office,03-08-2022 23:52:54,
62,NFRKE,SDET,Application Development,Gurgaon,17/01/16,Female,1488800,9898980061,2.00,,02-22-2012 15:13:34,
63,SDCPK,SDE,Operations,Dubai,26/01/18,Male,1721980,9898980062,2.00,Work From Home,06-24-2015 17:37:12,
64,BHGZC,SDET,Application Development,Banglore,16/03/20,Male,1540593,9898980063,5.00,Work From Home,09-20-2016 00:40:23,
65,PYAAY,TEAM LEAD,Development,Dubai,18/06/12,Male,1667799,9898980064,1.00,,11-17-2015 13:20:05,
66,PNHUU,QA,Development,Banglore,17/08/15,Male,1904507,9898980065,5.00,Work From Home,08-19-2013 12:45:11,
67,TFNAF,SDE,Application Development,Banglore,24/03/17,Male,1849639,9898980066,1.00,,07-13-2017 14:03:23,
68,EYEIY,TEAM LEAD,Application Development,Texam,30/05/13,Male,1961641,9898980067,2.00,,06-22-2012 22:42:23,
69,BFZAO,TEAM LEAD,Development,Texam,03/09/20,Male,1079144,9898980068,2.00,Work From Office,06-22-2011 05:08:25,
70,MTBEJ,MANAGER,Testing,Texam,25/10/19,Female,1044936,9898980069,2.00,Work From Home,11-09-2022 00:38:09,
71,WKJLS,MANAGER,Development,Pune,24/11/13,Male,1238901,9898980070,2.00,Work From Home,01-20-2014 05:52:03,
72,OCALG,MANAGER,Operations,Gurgaon,09/03/13,Female,1016393,9898980071,4.00,Work From Office,11-29-2016 19:32:01,
73,WBWHB,MANAGER,Operations,Banglore,29/09/20,Male,1618222,9898980072,4.00,Work From Home,11-26-2021 06:55:42,
74,NMEKZ,SDET,Development,Texam,12/09/16,Female,1847945,9898980073,5.00,,04-11-2018 07:21:53,
75,DANIE,SDE,Application Development,Texam,13/02/16,Female,1155068,9898980074,5.00,,11-16-2017 04:00:46,
76,TFELH,SDET,Operations,Pune,09/08/22,Male,1941198,9898980075,1.00,,08-14-2016 06:16:27,
77,LQEHT,SDET,Testing,Pune,17/02/20,Female,1481844,9898980076,5.00,Work From Home,04-05-2018 22:26:22,
78,DQGXP,SDET,Testing,Gurgaon,12/08/10,Female,1663616,9898980077,5.00,,06-29-2022 00:31:22,
79,DUXBD,QA,Development,Dubai,19/03/20,Female,1644468,9898980078,4.00,,12-11-2022 22:01:02,
80,PRIJJ,TEAM LEAD,Testing,Dubai,13/03/19,Male,1322829,9898980079,4.00,Work From Office,09-26-2019 21:19:24,
81,FZBBI,MANAGER,Operations,Dubai,13/07/17,Female,1754450,9898980080,5.00,Work From Home,09-05-2016 19:09:09,
82,PRBJR,TEAM LEAD,Development,Texam,21/05/15,Male,1037737,9898980081,1.00,Work From Home,09-01-2021 22:06:54,
83,XSSQS,TEAM LEAD,Testing,Gurgaon,01/10/15,Male,1391601,9898980082,2.00,Work From Home,05-19-2015 06:20:22,
84,QLKTV,MANAGER,Operations,Gurgaon,05/08/14,Female,1866189,9898980083,5.00,Work From Office,02-17-2021 07:36:11,
85,LXTZR,TEAM LEAD,Testing,Texam,23/07/12,Female,1840045,9898980084,5.00,Work From Office,04-25-2011 23:18:56,
86,LWLJR,SDE,Development,Dubai,07/04/10,Female,1360913,9898980085,5.00,,11-09-2010 09:15:28,
87,SRTNE,MANAGER,Operations,Dubai,27/07/22,Male,1003687,9898980086,3.00,,01-08-2020 16:14:04,
88,JQXBA,MANAGER,Development,Dubai,07/11/22,Female,1247793,9898980087,2.00,Work From Office,02-02-2011 02:19:55,
89,XMLIE,SDE,Application Development,Pune,04/06/19,Female,1651024,9898980088,3.00,Work From Home,05-29-2012 03:34:07,
90,YQHGQ,SDET,Operations,Gurgaon,15/03/19,Male,1716965,9898980089,4.00,,03-11-2022 16:38:29,
91,JDHUK,MANAGER,Operations,Banglore,13/11/21,Male,1201078,9898980090,2.00,,08-01-2011 08:37:13,
92,IAUWP,TEAM LEAD,Development,Texam,05/09/13,Female,1935750,9898980091,2.00,Work From Office,11-27-2010 05:37:01,
93,JDMNF,MANAGER,Testing,Dubai,02/10/16,Female,1863390,9898980092,4.00,Work From Home,08-04-2013 20:17:30,
94,YEHCE,QA,Operations,Pune,30/09/15,Male,1402348,9898980093,2.00,Work From Office,11-04-2018 12:26:21,
95,YKFSC,QA,Development,Dubai,01/11/16,Male,1684500,9898980094,4.00,Work From Office,12-08-2017 23:27:38,
96,KGTMZ,SDE,Testing,Pune,16/09/11,Female,1479500,9898980095,1.00,Work From Office,01-01-2012 14:09:04,
97,DXGLM,SDE,Development,Pune,27/11/22,Female,1970598,9898980096,4.00,Work From Office,07-01-2012 23:55:08,
98,LYKIB,QA,Operations,Dubai,07/09/12,Female,1920564,9898980097,3.00,Work From Home,11-16-2021 16:54:16,
99,AEZPT,QA,Application Development,Banglore,10/11/21,Female,1227479,9898980098,1.00,Work From Home,07-28-2021 01:33:33,
10002,HAZGL,SDE,Application Development,Banglore,25/10/15,Male,1846667,9898980099,2.00,Work From Home,01-08-2010 01:36:22,
101,MGEUH,SDE,Testing,Banglore,28/09/20,Female,1485082,9898980100,1.00,Work From Office,11-02-2019 15:20:54,
102,UVKKL,QA,Application Development,Pune,07/09/22,Male,1486097,9898980101,5.00,,12-16-2015 07:59:05,
103,QLKFG,SDE,Testing,Pune,19/09/15,Female,1915331,9898980102,1.00,,06-25-2011 10:35:45,
104,KASYB,SDE,Testing,Dubai,01/01/23,Male,1741870,9898980103,4.00,Work From Home,03-08-2015 17:29:45,
105,VFUJI,QA,Development,Texam,14/07/17,Male,1290223,9898980104,4.00,Work From Office,09-22-2021 18:20:06,
106,AMTZA,SDE,Testing,Gurgaon,08/10/15,Female,1329637,9898980105,1.00,Work From Office,11-23-2011 14:04:37,
107,LDTUU,TEAM LEAD,Application Development,Dubai,26/04/19,Female,1863881,9898980106,4.00,,07-27-2022 13:51:29,
108,WXLZX,SDET,Development,Pune,14/04/14,Male,1551549,9898980107,3.00,,04-17-2013 22:16:45,
109,GXCTC,SDET,Application Development,Dubai,13/09/18,Male,1773573,9898980108,1.00,Work From Home,01-16-2021 05:05:50,
110,MZIDZ,SDET,Application Development,Pune,12/06/13,Female,1847959,9898980109,4.00,Work From Home,08-15-2022 17:42:34,
111,XIHTM,SDE,Testing,Banglore,25/06/20,Male,1632790,9898980110,3.00,Work From Office,05-27-2018 02:58:13,
112,ZTVZD,SDET,Application Development,Banglore,27/01/13,Male,1142302,9898980111,5.00,,04-05-2015 10:48:18,
113,XBXRU,TEAM LEAD,Testing,Texam,22/11/14,Male,1543089,9898980112,3.00,Work From Home,11-07-2010 10:31:11,
114,HUNRO,QA,Development,Texam,28/06/13,Male,1107099,9898980113,1.00,Work From Home,03-29-2020 05:08:40,
115,BSQYB,SDE,Application Development,Banglore,13/03/10,Male,1561364,9898980114,1.00,Work From Office,01-07-2016 08:03:23,
116,OTGRM,TEAM LEAD,Operations,Gurgaon,02/08/10,Female,1863326,9898980115,3.00,,01-21-2019 07:01:50,
117,KDDBK,MANAGER,Operations,Texam,13/08/12,Female,1042992,9898980116,5.00,Work From Office,03-08-2016 15:15:01,
118,KYZLM,SDE,Application Development,Pune,02/07/18,Male,1841338,9898980117,3.00,Work From Home,09-07-2012 17:12:24,
119,ULMOE,MANAGER,Development,Banglore,30/03/14,Female,1615853,9898980118,2.00,Work From Home,01-02-2018 16:27:27,
120,OBBIT,TEAM LEAD,Application Development,Pune,12/02/10,Male,1100104,9898980119,2.00,Work From Office,09-01-2011 13:20:20,
121,UNCXR,TEAM LEAD,Operations,Gurgaon,30/05/22,Male,1611134,9898980120,1.00,Work From Home,02-03-2012 03:38:59,
122,MTTOK,TEAM LEAD,Operations,Gurgaon,04/07/13,Female,1065991,9898980121,5.00,Work From Home,04-03-2016 17:08:21,
123,LKRLT,QA,Development,Pune,21/08/13,Male,1263696,9898980122,1.00,,05-15-2019 22:44:53,
124,AMNJE,SDE,Operations,Gurgaon,28/04/18,Female,1506472,9898980123,3.00,,06-11-2019 10:37:01,
125,EXMOC,TEAM LEAD,Development,Gurgaon,02/02/13,Male,1618705,9898980124,5.00,Work From Home,12-24-2015 02:01:18,
126,QITZR,SDET,Operations,Gurgaon,15/09/11,Female,1876664,9898980125,4.00,,01-24-2020 18:12:16,
127,RDIFO,QA,Testing,Gurgaon,30/08/11,Female,1082368,9898980126,1.00,,05-26-2020 06:34:20,
128,CKPRU,TEAM LEAD,Testing,Texam,15/01/11,Male,1586837,9898980127,4.00,Work From Office,06-26-2012 03:27:34,
129,JSWEQ,MANAGER,Application Development,Pune,11/11/14,Male,1324892,9898980128,2.00,Work From Home,03-08-2020 19:06:47,
130,IMBQN,QA,Operations,Texam,05/05/11,Male,1944029,9898980129,3.00,Work From Home,05-24-2013 10:18:04,
131,ZXYZH,MANAGER,Application Development,Pune,12/02/19,Male,1442550,9898980130,5.00,Work From Office,11-03-2012 10:08:10,
132,OYURS,MANAGER,Development,Gurgaon,07/10/13,Female,1010255,9898980131,2.00,,11-23-2011 00:20:28,
133,VBBGX,QA,Operations,Texam,05/02/18,Female,1895705,9898980132,5.00,Work From Office,08-31-2013 08:14:53,
134,OWKVK,QA,Application Development,Pune,17/05/12,Male,1506437,9898980133,2.00,Work From Home,04-01-2014 05:27:21,
135,HBIKR,SDET,Development,Pune,20/05/14,Male,1680563,9898980134,3.00,Work From Office,11-22-2021 05:04:21,
136,PUYBI,SDET,Application Development,Banglore,04/02/17,Male,1452829,9898980135,5.00,Work From Home,01-29-2015 20:40:34,
137,RXWWI,SDET,Testing,Banglore,27/08/10,Female,1418798,9898980136,1.00,Work From Office,08-21-2015 07:08:58,
138,HGYWX,SDET,Development,Gurgaon,21/02/12,Female,1827783,9898980137,5.00,Work From Home,05-03-2018 14:08:45,
139,RCOSC,QA,Application Development,Gurgaon,13/07/14,Female,1701516,9898980138,2.00,Work From Home,03-24-2012 06:39:43,
140,PFXRC,QA,Operations,Gurgaon,25/09/14,Female,1365655,9898980139,5.00,Work From Office,08-18-2022 16:16:46,
141,OUGGL,QA,Operations,Pune,24/07/16,Male,1628129,9898980140,5.00,,06-04-2017 21:43:44,
142,CRRME,SDET,Operations,Pune,11/07/11,Female,1990888,9898980141,2.00,,11-02-2019 23:05:57,
143,VVZYM,TEAM LEAD,Testing,Dubai,18/08/22,Female,1612139,9898980142,4.00,,11-17-2015 17:42:26,
144,AOXBS,TEAM LEAD,Operations,Pune,31/01/11,Female,1221296,9898980143,2.00,,08-13-2016 23:20:44,
145,PTVRI,MANAGER,Operations,Texam,19/08/10,Male,1981704,9898980144,5.00,Work From Home,05-19-2015 18:43:48,
146,GYDOE,SDE,Development,Banglore,12/02/11,Male,1786717,9898980145,2.00,Work From Office,05-16-2020 06:24:57,
147,EYGYG,SDET,Development,Texam,12/08/13,Male,1586168,9898980146,3.00,,05-19-2013 00:39:59,
148,JBVNW,QA,Application Development,Pune,21/10/20,Male,1964738,9898980147,1.00,Work From Office,04-07-2020 07:45:36,
149,NBIOC,TEAM LEAD,Testing,Gurgaon,04/07/13,Male,1354880,9898980148,5.00,Work From Office,03-03-2015 12:22:43,
150,KWSGQ,SDET,Development,Pune,15/01/10,Female,1717264,9898980149,1.00,Work From Office,12-03-2013 20:55:39,
151,DMPGP,QA,Operations,Banglore,04/10/16,Female,1446573,9898980150,2.00,Work From Office,09-27-2016 01:45:55,
152,FJSKO,TEAM LEAD,Testing,Pune,19/08/21,Female,1390178,9898980151,3.00,Work From Office,11-13-2016 22:12:45,
153,BNDCF,TEAM LEAD,Application Development,Banglore,24/07/12,Male,1657720,9898980152,4.00,Work From Home,12-17-2011 12:47:43,
154,AJPAJ,TEAM LEAD,Testing,Dubai,29/05/21,Female,1745701,9898980153,1.00,,12-06-2021 02:50:33,
155,RRWGP,MANAGER,Operations,Banglore,06/06/16,Male,1940709,9898980154,5.00,Work From Office,12-23-2015 11:07:19,
156,PMJIE,MANAGER,Application Development,Dubai,17/09/11,Male,1079360,9898980155,4.00,Work From Office,04-24-2017 10:52:48,
157,GLIEQ,QA,Operations,Texam,06/01/12,Male,1978314,9898980156,3.00,Work From Home,07-15-2022 11:14:00,
158,FIPZM,SDET,Testing,Pune,22/09/13,Male,1302229,9898980157,5.00,Work From Office,12-18-2011 16:03:30,
159,NDKCB,SDET,Testing,Gurgaon,17/02/13,Male,1093009,9898980158,3.00,Work From Office,09-17-2019 04:24:56,
160,QUELB,SDE,Operations,Dubai,20/02/20,Male,1758674,9898980159,4.00,Work From Office,01-05-2021 12:27:46,
161,WASMU,MANAGER,Development,Banglore,15/10/16,Female,1137292,9898980160,3.00,Work From Office,04-30-2018 17:52:09,
162,JVRQH,QA,Development,Dubai,22/08/17,Male,1292450,9898980161,1.00,Work From Office,01-11-2016 03:52:22,
163,PBQUN,TEAM LEAD,Development,Gurgaon,08/03/18,Female,1003587,9898980162,5.00,Work From Home,02-28-2018 11:22:41,
164,GWGKV,QA,Application Development,Texam,18/07/19,Female,1179485,9898980163,3.00,Work From Office,03-09-2018 11:59:21,
165,DFVSY,TEAM LEAD,Application Development,Gurgaon,18/11/13,Male,1363788,9898980164,1.00,,12-19-2019 10:32:58,
166,SXDPF,QA,Operations,Dubai,02/04/16,Male,1006549,9898980165,4.00,Work From Home,08-19-2011 03:40:55,
167,WQCRI,SDE,Development,Banglore,11/09/22,Female,1430599,9898980166,5.00,Work From Office,05-15-2012 05:26:29,
168,SRYID,MANAGER,Testing,Banglore,10/02/16,Male,1463364,9898980167,2.00,,05-05-2010 18:46:27,
169,OEEBH,MANAGER,Application Development,Gurgaon,22/07/18,Female,1223847,9898980168,4.00,,01-08-2022 23:27:50,
170,VOJBG,SDET,Development,Gurgaon,22/07/16,Male,1943812,9898980169,5.00,Work From Office,11-19-2011 00:00:43,
171,NJSLY,TEAM LEAD,Application Development,Dubai,12/08/12,Male,1646932,9898980170,1.00,Work From Office,07-19-2022 18:56:35,
172,VCJGI,SDE,Testing,Banglore,18/08/21,Male,1923581,9898980171,2.00,,02-27-2017 14:20:10,
1003,HPALS,TEAM LEAD,Application Development,Dubai,12/06/22,Female,1674254,9898980172,5.00,Work From Office,05-05-2018 03:40:27,
174,XKPPV,SDET,Operations,Pune,15/11/11,Male,1389226,9898980173,1.00,Work From Office,09-13-2020 00:13:53,
175,HBIGA,SDET,Development,Banglore,03/04/15,Female,1832667,9898980174,4.00,,05-16-2011 13:31:09,
176,CFWLC,TEAM LEAD,Development,Pune,03/05/20,Female,1302082,9898980175,3.00,,09-07-2012 00:44:05,
177,FLYBL,MANAGER,Testing,Pune,12/08/20,Female,1516624,9898980176,2.00,Work From Office,03-24-2016 15:36:56,
178,ICEHY,MANAGER,Development,Pune,07/03/16,Male,1236826,9898980177,1.00,Work From Home,05-22-2019 09:42:46,
179,KSZXT,SDET,Application Development,Dubai,03/01/10,Male,1741783,9898980178,3.00,,01-21-2020 21:54:14,
180,FCMVX,SDET,Application Development,Banglore,08/07/20,Female,1776487,9898980179,5.00,Work From Office,07-06-2013 04:52:26,
181,ZEVGN,MANAGER,Development,Pune,26/03/20,Female,1738920,9898980180,3.00,,03-03-2017 21:32:36,
182,LOTTP,SDET,Development,Texam,09/05/21,Male,1514563,9898980181,2.00,Work From Office,03-08-2022 05:50:38,
183,YUMVZ,SDE,Testing,Texam,21/07/18,Female,1471419,9898980182,5.00,,09-25-2013 21:19:35,
184,YVNKM,SDE,Operations,Texam,22/05/10,Female,1154143,9898980183,1.00,Work From Office,03-17-2011 12:05:06,
185,MOSXM,QA,Application Development,Texam,05/03/15,Male,1489138,9898980184,1.00,,09-12-2010 06:21:37,
186,QIAOO,TEAM LEAD,Application Development,Banglore,05/07/20,Female,1026017,9898980185,1.00,Work From Office,12-11-2018 06:56:21,
187,PRASX,QA,Testing,Gurgaon,02/09/14,Female,1585505,9898980186,3.00,,11-24-2010 23:11:46,
188,TXPCD,SDE,Testing,Gurgaon,10/10/12,Female,1247796,9898980187,3.00,,08-17-2017 10:30:06,
189,SJHJI,SDE,Operations,Texam,05/09/11,Female,1542172,9898980188,5.00,Work From Office,02-23-2014 05:52:16,
190,BWTPN,MANAGER,Operations,Texam,14/11/13,Female,1065699,9898980189,1.00,Work From Home,11-13-2020 05:57:41,
191,SEVIB,QA,Operations,Texam,05/05/13,Male,1619108,9898980190,5.00,Work From Home,07-11-2014 20:13:14,
192,IVRTC,SDET,Application Development,Gurgaon,24/01/22,Female,1170768,9898980191,1.00,Work From Office,12-24-2021 23:45:05,
193,VDPJW,TEAM LEAD,Development,Banglore,01/10/10,Male,1357689,9898980192,2.00,Work From Office,05-13-2020 09:16:13,
194,IJEWG,SDET,Testing,Gurgaon,14/04/22,Female,1443780,9898980193,1.00,Work From Home,06-12-2015 00:23:04,
195,KULGQ,QA,Development,Texam,19/06/21,Male,1165620,9898980194,3.00,Work From Office,09-24-2014 01:29:43,
196,XTSLP,QA,Development,Gurgaon,25/10/11,Male,1076173,9898980195,5.00,,02-01-2010 13:02:58,
197,UTIMD,MANAGER,Application Development,Dubai,20/09/18,Female,1856508,9898980196,2.00,Work From Office,12-12-2013 15:39:22,
198,FWYBZ,SDET,Operations,Banglore,30/08/11,Male,1285067,9898980197,5.00,Work From Home,07-21-2017 00:03:06,
199,MXUFO,SDE,Development,Pune,15/06/20,Female,1222858,9898980198,2.00,,05-11-2013 18:07:31,
200,JWFWL,SDET,Testing,Texam,25/02/12,Female,1410900,9898980199,3.00,Work From Home,11-02-2015 02:31:12,
201,HITKI,SDE,Development,Banglore,12/02/18,Male,1476073,9898980200,1.00,Work From Office,07-08-2018 17:11:28,
202,JSKPZ,MANAGER,Testing,Pune,20/01/16,Male,1920319,9898980201,4.00,,06-25-2015 14:30:07,
203,QAOXD,SDET,Testing,Pune,22/04/10,Male,1092208,9898980202,2.00,Work From Home,07-04-2013 07:57:16,
204,ZKVPR,QA,Development,Texam,11/09/14,Female,1057935,9898980203,4.00,,11-22-2016 20:05:19,
205,IGJSH,MANAGER,Operations,Pune,04/08/18,Male,1948156,9898980204,5.00,,01-30-2017 17:18:58,
1004,UMJTG,SDE,Application Development,Banglore,24/11/22,Male,1864040,9898980205,5.00,Work From Office,11-23-2018 05:14:31,
207,JMUOT,MANAGER,Testing,Banglore,26/04/18,Female,1880267,9898980206,3.00,,05-08-2017 22:53:27,
208,XQZAG,TEAM LEAD,Development,Pune,03/09/18,Female,1557485,9898980207,5.00,Work From Office,08-20-2015 13:35:57,
209,TDQHR,MANAGER,Operations,Texam,21/10/21,Female,1850860,9898980208,4.00,Work From Office,12-18-2016 13:06:38,
210,RQMIW,SDE,Operations,Dubai,03/04/12,Male,1089841,9898980209,1.00,Work From Office,03-11-2019 08:11:02,
211,QJWIJ,QA,Testing,Pune,24/11/18,Male,1838891,9898980210,1.00,Work From Office,03-05-2021 11:17:27,
212,QFMSZ,TEAM LEAD,Development,Texam,12/01/17,Female,1234878,9898980211,3.00,Work From Home,05-28-2014 09:17:29,
213,LSDQM,QA,Operations,Dubai,25/01/20,Male,1899896,9898980212,5.00,Work From Office,11-06-2019 11:03:54,
214,ISZSN,SDET,Development,Dubai,24/11/14,Female,1168853,9898980213,3.00,,06-28-2011 05:33:57,
215,VNWEO,SDE,Development,Dubai,07/09/22,Male,1039647,9898980214,3.00,Work From Home,04-24-2015 06:30:40,
216,WFSWJ,TEAM LEAD,Operations,Pune,28/03/21,Male,1834087,9898980215,4.00,,12-30-2021 17:32:36,
217,LWMDI,TEAM LEAD,Development,Texam,01/01/12,Male,1732557,9898980216,1.00,,12-23-2020 20:43:23,
218,ZAENK,SDE,Operations,Gurgaon,18/10/18,Male,1152906,9898980217,3.00,Work From Home,05-01-2015 04:24:23,
219,XZRKE,SDE,Testing,Texam,26/06/20,Female,1536849,9898980218,3.00,,02-01-2016 07:33:47,
220,LOOWU,SDE,Application Development,Pune,03/06/12,Female,1174831,9898980219,1.00,Work From Home,12-14-2016 01:03:52,
221,LSVEX,SDET,Testing,Texam,15/08/19,Male,1431140,9898980220,5.00,,01-28-2021 15:09:17,
